                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     91,                 1.3532,                0.58477,                0.96545,                0.90172,                0.87267,                0.93018,                  0.603,                  1.381,                0.56545,                0.97556,              0.0055945,              0.0055945,              0.0055945
                     92,                 1.3612,                0.58625,                0.96494,                0.90272,                0.86768,                0.92956,                0.60233,                 1.3831,                0.56643,                0.97712,               0.005545,               0.005545,               0.005545
                     93,                 1.3539,                0.58424,                0.96433,                0.90599,                0.86307,                0.92948,                0.59934,                 1.3862,                0.56686,                0.97719,              0.0054955,              0.0054955,              0.0054955
                     94,                 1.3617,                0.58836,                 0.9635,                0.89869,                0.87891,                0.92899,                0.60102,                  1.382,                0.56679,                0.97536,               0.005446,               0.005446,               0.005446
                     95,                 1.3497,                0.58288,                0.96428,                 0.9098,                0.85619,                0.92627,                0.59992,                 1.3823,                0.56691,                 0.9766,              0.0053965,              0.0053965,              0.0053965
                     96,                 1.3502,                0.58019,                0.96045,                0.90887,                0.85468,                0.92601,                0.59806,                 1.3838,                0.56804,                0.97657,               0.005347,               0.005347,               0.005347
                     97,                 1.3479,                0.58126,                0.96287,                0.90681,                0.85048,                0.92273,                0.59629,                 1.3835,                0.56749,                0.97603,              0.0052975,              0.0052975,              0.0052975
                     98,                 1.3558,                0.58252,                0.96058,                0.90401,                 0.8556,                 0.9241,                0.59896,                 1.3837,                0.56723,                0.97591,               0.005248,               0.005248,               0.005248
                     99,                 1.3467,                0.58193,                0.96141,                0.89556,                0.87527,                0.92888,                0.60184,                 1.3853,                0.56481,                0.97688,              0.0051985,              0.0051985,              0.0051985
                    100,                 1.3426,                0.57754,                0.95823,                0.89605,                0.87355,                0.92994,                0.60128,                 1.3852,                0.56463,                0.97703,               0.005149,               0.005149,               0.005149
                    101,                 1.3452,                0.57966,                0.96089,                0.90065,                0.86737,                0.92864,                0.60105,                 1.3841,                0.56413,                0.97634,              0.0050995,              0.0050995,              0.0050995
                    102,                 1.3424,                0.57648,                0.95844,                0.90742,                0.85252,                0.92668,                 0.6008,                  1.383,                0.56361,                0.97509,                0.00505,                0.00505,                0.00505
                    103,                 1.3397,                0.57461,                 0.9614,                0.90324,                0.85221,                0.92369,                 0.5998,                 1.3819,                 0.5654,                0.97511,              0.0050005,              0.0050005,              0.0050005
                    104,                 1.3403,                0.57786,                0.95631,                 0.9055,                0.85159,                0.92554,                0.60034,                  1.383,                 0.5645,                0.97639,               0.004951,               0.004951,               0.004951
                    105,                  1.347,                0.57872,                0.96099,                0.90713,                0.85884,                0.92721,                0.60071,                 1.3843,                0.56227,                0.97571,              0.0049015,              0.0049015,              0.0049015
